d,path,phi,overall,below_gap1,below_accept
0.9800,uniforme,0.020000,0.020000,true,true
0.9820,uniforme,0.018000,0.018000,true,true
0.9840,uniforme,0.016000,0.016000,true,true
0.9860,uniforme,0.014000,0.014000,true,true
0.9880,uniforme,0.012000,0.012000,true,true
0.9900,uniforme,0.010000,0.010000,true,true
0.9920,uniforme,0.008000,0.008000,true,true
0.9940,uniforme,0.006000,0.006000,true,true
0.9960,uniforme,0.004000,0.004000,true,true
0.9980,uniforme,0.002000,0.002000,true,true
1.0000,uniforme,-0.000000,-0.000000,true,true
